Kategorie: Alle Kategorien

Woche,Cryptocurrency: (Weltweit)
2015-09-06,<1
2015-09-13,<1
2015-09-20,<1
2015-09-27,<1
2015-10-04,<1
2015-10-11,<1
2015-10-18,<1
2015-10-25,<1
2015-11-01,<1
2015-11-08,<1
2015-11-15,<1
2015-11-22,<1
2015-11-29,<1
2015-12-06,<1
2015-12-13,<1
2015-12-20,<1
2015-12-27,<1
2016-01-03,<1
2016-01-10,<1
2016-01-17,<1
2016-01-24,<1
2016-01-31,<1
2016-02-07,<1
2016-02-14,<1
2016-02-21,<1
2016-02-28,<1
2016-03-06,<1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,<1
2016-04-17,<1
2016-04-24,<1
2016-05-01,<1
2016-05-08,<1
2016-05-15,<1
2016-05-22,1
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,1
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,1
2016-07-31,1
2016-08-07,1
2016-08-14,1
2016-08-21,1
2016-08-28,1
2016-09-04,1
2016-09-11,1
2016-09-18,1
2016-09-25,1
2016-10-02,1
2016-10-09,1
2016-10-16,1
2016-10-23,1
2016-10-30,1
2016-11-06,1
2016-11-13,1
2016-11-20,1
2016-11-27,1
2016-12-04,1
2016-12-11,1
2016-12-18,1
2016-12-25,1
2017-01-01,2
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,1
2017-03-12,2
2017-03-19,2
2017-03-26,2
2017-04-02,2
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,4
2017-05-07,5
2017-05-14,5
2017-05-21,11
2017-05-28,9
2017-06-04,11
2017-06-11,14
2017-06-18,13
2017-06-25,12
2017-07-02,10
2017-07-09,11
2017-07-16,11
2017-07-23,10
2017-07-30,10
2017-08-06,14
2017-08-13,16
2017-08-20,15
2017-08-27,18
2017-09-03,19
2017-09-10,18
2017-09-17,14
2017-09-24,13
2017-10-01,13
2017-10-08,15
2017-10-15,16
2017-10-22,15
2017-10-29,18
2017-11-05,20
2017-11-12,21
2017-11-19,23
2017-11-26,42
2017-12-03,56
2017-12-10,80
2017-12-17,94
2017-12-24,73
2017-12-31,100
2018-01-07,99
2018-01-14,91
2018-01-21,55
2018-01-28,57
2018-02-04,52
2018-02-11,33
2018-02-18,32
2018-02-25,25
2018-03-04,25
2018-03-11,25
2018-03-18,23
2018-03-25,21
2018-04-01,19
2018-04-08,18
2018-04-15,19
2018-04-22,19
2018-04-29,18
2018-05-06,17
2018-05-13,15
2018-05-20,14
2018-05-27,14
2018-06-03,12
2018-06-10,15
2018-06-17,13
2018-06-24,13
2018-07-01,11
2018-07-08,11
2018-07-15,13
2018-07-22,12
2018-07-29,11
2018-08-05,12
2018-08-12,12
2018-08-19,11
2018-08-26,10
2018-09-02,11
2018-09-09,11
2018-09-16,11
2018-09-23,10
2018-09-30,9
2018-10-07,10
2018-10-14,9
2018-10-21,9
2018-10-28,9
2018-11-04,9
2018-11-11,10
2018-11-18,10
2018-11-25,10
2018-12-02,9
2018-12-09,8
2018-12-16,9
2018-12-23,8
2018-12-30,7
2019-01-06,8
2019-01-13,7
2019-01-20,7
2019-01-27,7
2019-02-03,9
2019-02-10,7
2019-02-17,8
2019-02-24,7
2019-03-03,7
2019-03-10,6
2019-03-17,6
2019-03-24,6
2019-03-31,9
2019-04-07,7
2019-04-14,6
2019-04-21,7
2019-04-28,6
2019-05-05,7
2019-05-12,10
2019-05-19,8
2019-05-26,9
2019-06-02,8
2019-06-09,9
2019-06-16,14
2019-06-23,12
2019-06-30,9
2019-07-07,9
2019-07-14,9
2019-07-21,8
2019-07-28,7
2019-08-04,7
2019-08-11,6
2019-08-18,6
2019-08-25,6
2019-09-01,6
2019-09-08,6
