Kategorie: Alle Kategorien

Woche,Ethereum: (Weltweit)
2015-09-06,<1
2015-09-13,1
2015-09-20,<1
2015-09-27,<1
2015-10-04,<1
2015-10-11,<1
2015-10-18,<1
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,<1
2015-11-29,<1
2015-12-06,1
2015-12-13,1
2015-12-20,<1
2015-12-27,<1
2016-01-03,1
2016-01-10,1
2016-01-17,1
2016-01-24,2
2016-01-31,1
2016-02-07,3
2016-02-14,2
2016-02-21,2
2016-02-28,4
2016-03-06,4
2016-03-13,5
2016-03-20,3
2016-03-27,4
2016-04-03,3
2016-04-10,3
2016-04-17,3
2016-04-24,2
2016-05-01,3
2016-05-08,3
2016-05-15,5
2016-05-22,5
2016-05-29,4
2016-06-05,4
2016-06-12,8
2016-06-19,7
2016-06-26,4
2016-07-03,4
2016-07-10,3
2016-07-17,4
2016-07-24,6
2016-07-31,4
2016-08-07,3
2016-08-14,2
2016-08-21,2
2016-08-28,3
2016-09-04,2
2016-09-11,2
2016-09-18,3
2016-09-25,3
2016-10-02,3
2016-10-09,2
2016-10-16,3
2016-10-23,3
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,2
2016-12-25,2
2017-01-01,4
2017-01-08,3
2017-01-15,3
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,3
2017-02-19,3
2017-02-26,7
2017-03-05,5
2017-03-12,13
2017-03-19,11
2017-03-26,9
2017-04-02,7
2017-04-09,6
2017-04-16,6
2017-04-23,10
2017-04-30,18
2017-05-07,14
2017-05-14,16
2017-05-21,49
2017-05-28,39
2017-06-04,45
2017-06-11,75
2017-06-18,58
2017-06-25,54
2017-07-02,35
2017-07-09,42
2017-07-16,39
2017-07-23,27
2017-07-30,26
2017-08-06,32
2017-08-13,32
2017-08-20,28
2017-08-27,34
2017-09-03,31
2017-09-10,28
2017-09-17,23
2017-09-24,19
2017-10-01,18
2017-10-08,24
2017-10-15,29
2017-10-22,23
2017-10-29,29
2017-11-05,33
2017-11-12,29
2017-11-19,44
2017-11-26,69
2017-12-03,78
2017-12-10,100
2017-12-17,90
2017-12-24,58
2017-12-31,75
2018-01-07,100
2018-01-14,80
2018-01-21,47
2018-01-28,50
2018-02-04,44
2018-02-11,31
2018-02-18,27
2018-02-25,22
2018-03-04,22
2018-03-11,21
2018-03-18,21
2018-03-25,22
2018-04-01,17
2018-04-08,16
2018-04-15,16
2018-04-22,19
2018-04-29,19
2018-05-06,20
2018-05-13,15
2018-05-20,15
2018-05-27,14
2018-06-03,13
2018-06-10,14
2018-06-17,12
2018-06-24,12
2018-07-01,10
2018-07-08,11
2018-07-15,11
2018-07-22,11
2018-07-29,11
2018-08-05,13
2018-08-12,17
2018-08-19,11
2018-08-26,10
2018-09-02,13
2018-09-09,15
2018-09-16,11
2018-09-23,10
2018-09-30,9
2018-10-07,9
2018-10-14,9
2018-10-21,8
2018-10-28,8
2018-11-04,9
2018-11-11,9
2018-11-18,11
2018-11-25,10
2018-12-02,10
2018-12-09,9
2018-12-16,9
2018-12-23,10
2018-12-30,11
2019-01-06,11
2019-01-13,9
2019-01-20,7
2019-01-27,7
2019-02-03,7
2019-02-10,7
2019-02-17,9
2019-02-24,9
2019-03-03,7
2019-03-10,6
2019-03-17,6
2019-03-24,6
2019-03-31,9
2019-04-07,8
2019-04-14,7
2019-04-21,7
2019-04-28,7
2019-05-05,8
2019-05-12,15
2019-05-19,10
2019-05-26,10
2019-06-02,8
2019-06-09,8
2019-06-16,11
2019-06-23,16
2019-06-30,13
2019-07-07,22
2019-07-14,31
2019-07-21,7
2019-07-28,7
2019-08-04,7
2019-08-11,7
2019-08-18,7
2019-08-25,7
2019-09-01,6
2019-09-08,6
